Date,Revenue,COGS
2023-01-01,2489387.099799258,2258204.9133445816
2023-01-02,1391040.4484453064,1124139.4220507685
2023-01-03,1493765.1304167814,1228376.0749953343
2023-01-04,1449172.4674309015,1172820.1164277273
2023-01-05,1626944.7558617436,1302221.2181889643
2023-01-06,1549051.6784539924,1232175.1531775738
2023-01-07,1779538.1681088388,1439897.262161564
2023-01-08,2006183.3424407444,1604086.0776062065
2023-01-09,2035668.171465979,1662771.3300250706
2023-01-10,2224453.6948383087,1778793.8464306903
2023-01-11,2097991.870876809,1651813.0376073248
2023-01-12,1775128.9414246022,1410418.3158838318
2023-01-13,1731424.2627700134,1369852.8891668527
2023-01-14,1926985.3089242072,1544841.1415349925
2023-01-15,2270345.413578767,1828159.686914905
2023-01-16,2233506.1430290057,1782084.4588339494
2023-01-17,2285301.152105634,1824837.2053167885
2023-01-18,2263397.950543595,1811927.7279552228
2023-01-19,2423787.686392557,1927641.8257363627
2023-01-20,2163989.230487514,1739659.574778748
2023-01-21,2223520.129221934,1767668.626826084
2023-01-22,2332572.3717483436,1901255.4336251274
2023-01-23,2506014.634483317,2008448.021513005
2023-01-24,2702772.6076406008,2163593.791070066
2023-01-25,2933284.877217384,2325874.9906331445
2023-01-26,3174736.148319127,2558400.97652792
2023-01-27,3323673.4702215,2656301.435383211
2023-01-28,4139335.610384095,3282042.257325188
2023-01-29,4350266.170140829,3426966.9512000037
2023-01-30,4118778.146435609,3270797.600713429
2023-01-31,3982571.545739337,3150882.1782994387
2023-02-01,3425491.070850565,2786858.1751037105
2023-02-02,1470248.736084508,1165224.9945378178
2023-02-03,1628270.7599420124,1320473.504431303
2023-02-04,2050453.4713421706,1639383.8548488065
2023-02-05,2368839.5352376504,1896782.006640832
2023-02-06,2468023.445920266,1976382.0888052161
2023-02-07,2459836.0396931213,1981754.9747452524
2023-02-08,2271159.8693212196,1825491.393587124
2023-02-09,2129728.3708627815,1697622.5089401286
2023-02-10,2564766.8403378027,2071195.663540022
2023-02-11,2753550.832113435,2198542.1219333676
2023-02-12,3229258.4020838398,2599005.6309588244
2023-02-13,3504495.075840913,2804444.1931576715
2023-02-14,3167480.8480280163,2576865.915590544
2023-02-15,3071971.046156019,2464324.580048336
2023-02-16,3009714.634807306,2446124.339136799
2023-02-17,3018415.604627876,2448087.231226354
2023-02-18,3109805.7019543606,2539537.091228903
2023-02-19,3403343.846432665,2784845.050410824
2023-02-20,3850292.4914601627,3133869.307812285
2023-02-21,3426712.073815998,2779647.066518066
2023-02-22,3853091.5077198423,3140962.9549544677
2023-02-23,4499938.088056806,3671810.7110798894
2023-02-24,4159127.561350296,3379055.810948917
2023-02-25,6073650.790941661,4872945.66570934
2023-02-26,5943568.233398201,4789278.171910396
2023-02-27,5373033.099680281,4391560.421946464
2023-02-28,3892432.7492516246,3169001.8572210018
2023-03-01,2975028.1029849825,2421838.5352372294
2023-03-02,1257768.8546169994,1027896.01089076
2023-03-03,1557697.415056827,1246420.0627869351
2023-03-04,2036291.4880108119,1640798.416324941
2023-03-05,2487346.624987221,2002453.5003312794
2023-03-06,2937314.6938342834,2375626.199156223
2023-03-07,3292879.440510197,2626235.5607605022
2023-03-08,3416113.7725244593,2723276.7192709055
2023-03-09,3276769.5398186003,2630055.717548275
2023-03-10,3845033.0474284925,3083469.4165835395
2023-03-11,3812697.5742783914,3056976.3366495995
2023-03-12,3656447.5997939687,2980336.395879239
2023-03-13,4204075.282727602,3373279.6000448153
2023-03-14,5074895.152537817,4091040.21010707
2023-03-15,5062359.020765304,4092721.6576736113
2023-03-16,4946680.655254567,4023551.3456253647
2023-03-17,4741986.882377919,3883692.182136335
2023-03-18,4541034.267097302,3759050.9240901987
2023-03-19,4507578.942990728,3731477.225086599
2023-03-20,4720737.109409781,3965868.1958632353
2023-03-21,4678866.867518372,4055364.48086587
2023-03-22,5294262.139083521,4671762.256823143
2023-03-23,5186805.11032845,4599034.115216707
2023-03-24,4714704.556929593,4296389.0546433
2023-03-25,4010016.1454844717,3690258.1031539626
2023-03-26,4407119.0079748025,4038762.5203990126
2023-03-27,4992618.512238867,4545895.0929839555
2023-03-28,5654688.319055758,5224184.9534276035
2023-03-29,7057573.881161773,6398469.472665552
2023-03-30,11565204.513656376,10807004.899489196
2023-03-31,9862434.648452653,9079081.431733198
2023-04-01,9601545.608173562,8804117.73293737
2023-04-02,8606941.73414333,7903986.241139665
2023-04-03,8060604.059326883,7402181.027096135
2023-04-04,3055774.7654909305,2799804.861569873
2023-04-05,3628735.4164832197,3294020.1577656795
2023-04-06,3224459.6942248167,2915465.0325230686
2023-04-07,3063061.5395628726,2792774.399885731
2023-04-08,3402708.2741466537,3131315.307326883
2023-04-09,4193876.297298539,3869860.638979153
2023-04-10,4885535.822478443,4505240.839591526
2023-04-11,5367101.049042366,4894878.9208845915
2023-04-12,5656057.984703062,5156246.72183312
2023-04-13,5410953.445921346,4913046.889696337
2023-04-14,5339190.99572749,4833069.007664329
2023-04-15,5041289.022663198,4326960.261343365
2023-04-16,6094087.928115235,5175587.452589795
2023-04-17,6570783.525760797,5523133.545120384
2023-04-18,6107173.49030074,4934315.880652856
2023-04-19,7409758.342537485,6043119.983767386
2023-04-20,5414002.649753431,4371427.548745019
2023-04-21,4877299.911021934,3962308.863386888
2023-04-22,5541815.7627848955,4545061.684154556
2023-04-23,5377460.185075645,4344668.90741976
2023-04-24,6245843.521551706,5098563.283436729
2023-04-25,7176914.367391752,5808455.628234564
2023-04-26,8466708.072805017,6866213.2854932295
2023-04-27,7643930.165979208,6132711.560100912
2023-04-28,7883592.880802262,6306481.492017386
2023-04-29,10559521.528214337,8076954.256920891
2023-04-30,8598466.367862381,6991698.625169425
2023-05-01,7937250.169272762,6323514.557843396
2023-05-02,6473653.198097668,5160939.47283934
2023-05-03,7092088.369414644,5708729.672101951
2023-05-04,3091532.1695686253,2459013.3079260723
2023-05-05,3965564.8322718125,3136232.550451516
2023-05-06,3937700.726248105,3137408.439414116
2023-05-07,4304632.913859623,3442599.9895627666
2023-05-08,4271046.030062902,3398144.504979991
2023-05-09,4700301.964051309,3707142.9612231553
2023-05-10,5064258.868551579,3945880.339911499
2023-05-11,5296024.080130475,4192285.0330958767
2023-05-12,5459920.553531301,4329913.8201558655
2023-05-13,5159200.376350827,4119865.0673275446
2023-05-14,6225182.715824453,4994618.080669637
2023-05-15,6446086.803153469,5166466.513261143
2023-05-16,6204058.849280901,4888987.197750952
2023-05-17,6782375.881698772,5370048.791635677
2023-05-18,5723641.458043419,4593629.739042973
2023-05-19,5757478.784537686,4617114.68064724
2023-05-20,4158677.8803634066,3320056.3730857563
2023-05-21,5906822.993091517,4716375.2605324965
2023-05-22,6563147.91337512,5236940.888034964
2023-05-23,5757140.674551433,4652380.118102023
2023-05-24,6884189.07375285,5478517.283590882
2023-05-25,5821827.182780401,4645756.746120411
2023-05-26,5791510.969487641,4658998.764070328
2023-05-27,5079461.109162277,4069207.754868132
2023-05-28,5580638.548163232,4480934.677668019
2023-05-29,7902357.273661871,6338045.502081752
2023-05-30,11773475.5432644,9381807.408760304
2023-05-31,12612636.434008833,10049814.490220275
2023-06-01,11061449.960093744,8908481.540650483
2023-06-02,9261262.754183615,7344871.526031728
2023-06-03,8750683.219816765,6973765.656039563
2023-06-04,4095302.327114689,3268665.625374647
2023-06-05,4718871.065063885,3716636.406803699
2023-06-06,5196527.182330246,4180324.349913113
2023-06-07,5855128.29298906,4752438.798784639
2023-06-08,5425866.632952894,4376645.327496411
2023-06-09,4880930.075155647,3896813.6576322676
2023-06-10,4533104.404781825,3641745.129456664
2023-06-11,5494614.560163896,4316035.223370698
2023-06-12,6058602.802781173,4835802.301757396
2023-06-13,6131093.97361233,4951047.711277143
2023-06-14,7237131.06796532,5721396.063291501
2023-06-15,6764245.138518191,5422905.2630849555
2023-06-16,6715600.313872566,5432417.55318736
2023-06-17,6030021.9166689515,4824612.425368431
2023-06-18,5549897.385301202,4399845.595151135
2023-06-19,5272633.021686082,4232995.393852868
2023-06-20,5419929.421899188,4339485.382791887
2023-06-21,7531228.102977912,6027012.853158675
2023-06-22,6575816.707398,5221775.828808482
2023-06-23,6492299.726151955,5219254.972168853
2023-06-24,5851395.971594987,5202166.5984354755
2023-06-25,5988129.878212149,5396718.739331541
2023-06-26,5627197.781579218,5221537.209753627
2023-06-27,5985261.223370494,5867139.535491455
2023-06-28,7642482.052371965,7426278.789999357
2023-06-29,10069892.180188162,9915043.055349477
2023-06-30,8337913.112895445,8171465.304417769
2023-07-01,7551837.131636969,7524978.539750656
2023-07-02,7203294.070161256,6709177.7602434615
2023-07-03,5909077.321053389,5826826.757081768
2023-07-04,1995250.9395264606,1890428.8509371637
2023-07-05,2446556.2184477686,2338503.8144132183
2023-07-06,2743300.4182710825,2687824.501688345
2023-07-07,2523213.126668207,2482011.6391706658
2023-07-08,2882499.069469943,2830327.9009756474
2023-07-09,3592377.08917471,3583841.094629381
2023-07-10,3894596.8340553483,3826367.40069942
2023-07-11,3647512.592570472,3597643.079897908
2023-07-12,3887451.4471849045,3781630.116829284
2023-07-13,3537014.1220036815,3450669.80311841
2023-07-14,3529112.081540731,3520296.9898341354
2023-07-15,3650512.6088755447,3623491.518760612
2023-07-16,3917897.4581963858,3863598.260350304
2023-07-17,4193348.103164346,4127319.2496860335
2023-07-18,4466029.185923651,4493517.503639028
2023-07-19,4805271.28609921,4456205.780375529
2023-07-20,4842435.301766301,4437146.986603972
2023-07-21,4219170.856620252,3685719.8135138466
2023-07-22,4955367.56160713,4256287.163624091
2023-07-23,4824764.228386228,3947301.7299365834
2023-07-24,5148635.544486163,4110786.5568555226
2023-07-25,4395906.579750197,3511771.0231913165
2023-07-26,5823123.712721958,4640230.7512881085
2023-07-27,6023883.119305488,4853487.6364002675
2023-07-28,6016042.382714013,4863664.8783316165
2023-07-29,6003842.7081678165,4697090.7029993385
2023-07-30,6437877.576732206,5278439.582580884
2023-07-31,8877581.62250076,7646418.83904549
2023-08-01,7053020.364933393,8237859.247411661
2023-08-02,7102843.826792914,8342528.298909207
2023-08-03,5914056.486890746,7985504.762295103
2023-08-04,4982038.681904851,6808761.785804761
2023-08-05,2760139.900201323,3696244.172381217
2023-08-06,2301339.06681383,3231496.38027747
2023-08-07,2607563.754221269,3680936.1126819816
2023-08-08,2452229.4139424674,3400354.252706461
2023-08-09,2554021.3374295277,3567118.391563824
2023-08-10,3002697.5002545323,4238721.928180925
2023-08-11,3004461.228008909,4241211.673320813
2023-08-12,3247258.486515409,4444111.18207535
2023-08-13,2684825.490820574,3790001.7168945814
2023-08-14,3357802.2186890435,4481450.839326855
2023-08-15,3331528.208050461,4648084.58349914
2023-08-16,3491328.427892588,4928491.919194681
2023-08-17,3433755.971942975,4847220.451964877
2023-08-18,3318625.478985795,4683753.498343374
2023-08-19,3225792.703933794,4425654.677538427
2023-08-20,3351253.0055138785,4728763.900129528
2023-08-21,3170417.6404474145,4427346.1947438065
2023-08-22,3501879.3486973243,4850933.519177005
2023-08-23,2846293.017376901,3991308.4255524897
2023-08-24,2996963.442791146,4230627.514705875
2023-08-25,3205318.546898248,4453245.327674703
2023-08-26,2538573.305706682,3583546.573133227
2023-08-27,2876118.2281142236,3933144.532025401
2023-08-28,6689634.399030817,9443342.200234195
2023-08-29,7755085.334213853,10533768.321616014
2023-08-30,6526916.84957902,8739392.831067
2023-08-31,7136411.580052138,9315188.600560231
2023-09-01,6909402.881621026,8088774.647657366
2023-09-02,2529833.2452748767,2749588.1854955642
2023-09-03,2239691.3517091246,1998108.761467146
2023-09-04,2600692.069230547,2402828.316023618
2023-09-05,2947612.9992109574,2704575.339508842
2023-09-06,3359397.914454684,3009451.844600925
2023-09-07,3605696.6639539506,3278502.3386116386
2023-09-08,3518038.8542039157,3200230.3741077096
2023-09-09,3702246.9238108117,3385428.6984097385
2023-09-10,3334313.6099180337,2955591.7724126168
2023-09-11,4155838.7149910317,3822603.331237036
2023-09-12,4281675.732934004,3890091.3971918807
2023-09-13,4174909.819670672,3804564.7920775004
2023-09-14,3942965.058461771,3581996.8827765216
2023-09-15,3564097.0438998602,3153513.112728956
2023-09-16,3540142.839245779,3224784.147295517
2023-09-17,3602720.1943121185,3319782.2758341716
2023-09-18,4016307.291645588,3580294.6458500316
2023-09-19,3541225.5364111587,3252257.3487909622
2023-09-20,3635426.607274887,3339224.1314134295
2023-09-21,3837695.25704543,3490205.049814547
2023-09-22,3596597.745297525,3329677.2441950156
2023-09-23,3540126.3039211575,3296230.8234009296
2023-09-24,3723948.055957598,3328456.808947235
2023-09-25,4406051.31191829,3967315.5273862723
2023-09-26,6270648.82749521,5634962.818880486
2023-09-27,6540367.805907192,5801250.253945273
2023-09-28,6029379.872206947,5362160.6998219555
2023-09-29,5069637.445022467,4532863.217069626
2023-09-30,5278622.194219395,4628635.387311738
2023-10-01,3845642.861849551,3276822.0307731098
2023-10-02,1913048.4782672178,1508145.5021015336
2023-10-03,2610799.1365017258,2086852.9300524658
2023-10-04,2958381.869757237,2396386.128911512
2023-10-05,3195808.0131735583,2540610.3758881376
2023-10-06,2468810.9499126244,2004183.07010268
2023-10-07,2617857.2213433497,2070367.616305995
2023-10-08,2755827.5435225875,2246509.4682744415
2023-10-09,3000871.0425142692,2401641.7090133666
2023-10-10,3254096.4558597556,2590066.962561221
2023-10-11,3452968.2050471776,2787463.093390637
2023-10-12,3551308.482246194,2843103.0406600554
2023-10-13,3290403.9643351277,2645730.2586643253
2023-10-14,3282071.2566183307,2605748.7416596203
2023-10-15,3352914.6611778825,2667526.480066783
2023-10-16,3763528.7667798824,3021137.1373978695
2023-10-17,3398697.1387259294,2729888.731674673
2023-10-18,3972421.840038642,3189162.089446034
2023-10-19,3310306.2577424366,2644575.0645252992
2023-10-20,3746391.0485865814,2986208.1592561575
2023-10-21,3400149.4747078214,2726054.0515433564
2023-10-22,3545856.383884132,2847163.9757930012
2023-10-23,3319180.4072983996,2645694.798354967
2023-10-24,3445826.115618435,2768800.897805901
2023-10-25,3691325.554033641,2905962.122557348
2023-10-26,3397444.641154039,2706936.626836604
2023-10-27,3659677.9117831667,2966450.0950815203
2023-10-28,5930181.028392781,4749742.689028482
2023-10-29,5914411.619970598,4636139.176631803
2023-10-30,5906058.045717186,4702287.015563542
2023-10-31,5509615.808469343,4395755.185286904
2023-11-01,4709284.014401854,3863294.903582066
2023-11-02,2979019.839645376,2457509.6547876876
2023-11-03,1483562.0991176446,1210927.2711013516
2023-11-04,2139814.3790393826,1777184.5599728762
2023-11-05,2652349.941321524,2201544.790941311
2023-11-06,2934408.484779005,2340238.9670454683
2023-11-07,2295759.626611882,1861938.973524742
2023-11-08,2621673.143212308,2137381.115134015
2023-11-09,2409571.280572307,1938954.9142851091
2023-11-10,2547974.3006901112,2046071.8282129639
2023-11-11,2405851.9506611605,1953635.357935396
2023-11-12,3139984.868652135,2529084.1042947615
2023-11-13,3731339.510126821,2980323.963114853
2023-11-14,2973612.355524772,2468106.0594324735
2023-11-15,2910212.9373792238,2314628.5783585142
2023-11-16,2698814.121289991,2206772.846169341
2023-11-17,2477191.80219384,2062159.6090070193
2023-11-18,2628635.238711709,2243538.2244020966
2023-11-19,2395312.9944648617,2176907.433728717
2023-11-20,2384355.504588788,2152715.808347171
2023-11-21,2099921.345339221,1967071.489492062
2023-11-22,1987517.2144082717,1989313.2579488698
2023-11-23,1664541.659758041,1652940.6108474552
2023-11-24,1877384.9627590731,1897634.0049651358
2023-11-25,1859918.8726449213,1831059.3967017417
2023-11-26,2497189.083724344,2510768.5118889934
2023-11-27,4120752.918115381,4096716.26385432
2023-11-28,4110259.9179286915,4042624.767443556
2023-11-29,3351779.7664051373,3282028.954579196
2023-11-30,2591621.2826813953,2537535.59405283
2023-12-01,1483556.1152992665,1488981.9998774007
2023-12-02,1255815.3129246181,1260404.0569091444
2023-12-03,1507848.5961793102,1463420.9365269742
2023-12-04,1682493.606778454,1659895.0714346566
2023-12-05,1634401.6442709586,1614547.5486344562
2023-12-06,1516520.8248404157,1509593.3456419392
2023-12-07,1562279.4567995425,1571915.0205964602
2023-12-08,1551435.3912180099,1566141.3562259965
2023-12-09,1709616.9119512015,1745301.1681328712
2023-12-10,1707565.871082604,1724216.554426693
2023-12-11,1793889.4086061267,1820482.3369143673
2023-12-12,2190220.8447772437,2218774.1126934355
2023-12-13,2244549.0375863747,2259359.6821991047
2023-12-14,1992916.1378499358,2033056.6981961622
2023-12-15,1943651.1600924206,1989206.581904516
2023-12-16,1905028.2057803746,1926081.8852987136
2023-12-17,2007232.025949293,2018540.6455620339
2023-12-18,2380990.9984352095,2392586.8297133106
2023-12-19,2491938.683028974,2511734.8825553413
2023-12-20,2565693.2181582963,2558872.2016893313
2023-12-21,2602854.6964651425,2619639.6820960343
2023-12-22,2537661.9753698003,2527475.5843483456
2023-12-23,2412696.2782745454,2438609.7770568226
2023-12-24,1976271.9367824348,1971422.0562269187
2023-12-25,2024286.255412801,2002250.1461032988
2023-12-26,2244868.3348376798,2225883.5997158573
2023-12-27,3007202.6070088493,2973420.605820998
2023-12-28,5218495.757000602,5271522.328955803
2023-12-29,4895540.788845734,4848355.73390077
2023-12-30,4601631.709378931,4553818.168653816
2023-12-31,4385829.307927556,4353613.756270231
2024-01-01,3708893.376227169,3545088.3312465046
2024-01-02,1225892.8837116945,1057364.2479935666
2024-01-03,1457175.2914944843,1171340.9296520716
2024-01-04,1449659.4301740625,1157784.5789492198
2024-01-05,1625819.9828208564,1287691.339217249
2024-01-06,1770686.2902205642,1407449.9842902937
2024-01-07,1693439.6285816985,1373574.8548432973
2024-01-08,2053511.3740498007,1643038.2385397071
2024-01-09,2001947.2903704531,1635053.0977643994
2024-01-10,1917275.675408446,1536178.4761868885
2024-01-11,2234508.560995895,1762063.8324739707
2024-01-12,2180225.286524447,1730420.5653276693
2024-01-13,1886743.7798900472,1540386.6407896976
2024-01-14,2102858.0925258,1701677.1339496772
2024-01-15,2565032.709664732,2072760.9825576209
2024-01-16,2283146.380196321,1860832.2181059567
2024-01-17,2220908.066657577,1790727.1894592543
2024-01-18,2327782.2964622937,1909101.7146448959
2024-01-19,2666537.9565738738,2185990.009560075
2024-01-20,2549983.382568655,2067176.3531662798
2024-01-21,2703957.8665085942,2180382.6297536646
2024-01-22,2792223.0127555868,2269929.3851339407
2024-01-23,3021259.4989436143,2430963.9252270036
2024-01-24,3019090.650827768,2419164.2955339127
2024-01-25,3048457.9848548085,2445622.017627064
2024-01-26,3236892.0857718755,2611368.1343199476
2024-01-27,3387826.152019582,2731307.6062360015
2024-01-28,3948679.84864682,3222942.782772161
2024-01-29,4071148.730930775,3271698.599022145
2024-01-30,4176845.828892015,3354126.5635480485
2024-01-31,3292436.4893514523,2649353.77499503
2024-02-01,2977222.655904658,2437766.856152636
2024-02-02,1870183.0078244053,1498110.8732892943
2024-02-03,2004525.7135539455,1616631.023211374
2024-02-04,2146156.711185923,1722662.8852129825
2024-02-05,2554391.8199382606,2072526.9054502698
2024-02-06,2393253.76214157,1923646.4992662023
2024-02-07,2477678.594401991,1973056.9304257093
2024-02-08,2258245.9030821305,1803296.7516413755
2024-02-09,2485126.232387253,1995379.4367901126
2024-02-10,2710497.677914044,2169802.740578623
2024-02-11,2863485.818226558,2294787.4835736477
2024-02-12,3304511.467784193,2683945.848517393
2024-02-13,3564313.265482785,2877543.6440850897
2024-02-14,3196597.688333604,2604279.069623402
2024-02-15,3256720.652800106,2613859.3219777974
2024-02-16,3080060.4261768823,2500695.903932602
2024-02-17,3089132.911188807,2497891.1926418757
2024-02-18,3385031.1588216512,2754108.5152299134
2024-02-19,3370275.3309476324,2726977.840653209
2024-02-20,3822990.5817291145,3092591.2242220454
2024-02-21,3558654.247167687,2885867.362833741
2024-02-22,3892722.890763354,3161633.217630905
2024-02-23,4530064.317425858,3681611.4150809096
2024-02-24,4574362.874598269,3703997.0731295464
2024-02-25,6420731.941934908,5170239.728892938
2024-02-26,6288839.7229495635,5066814.121630018
2024-02-27,5608160.439720566,4556920.751277134
2024-02-28,4389938.162006894,3564344.4728792794
2024-02-29,2815729.1147143836,2324368.3320264453
2024-03-01,1611100.214857883,1312124.0983738254
2024-03-02,1095885.4421773462,887616.9443219976
2024-03-03,1836485.8029447068,1472322.902823463
2024-03-04,2490397.1705895755,2010946.7036288525
2024-03-05,2907103.856373154,2358110.625192741
2024-03-06,3342761.412821503,2654835.800958502
2024-03-07,2782809.4073909144,2209709.5131591125
2024-03-08,2730474.53759327,2195940.7303253966
2024-03-09,3195541.355571792,2569777.7206972847
2024-03-10,4066049.7743288777,3258925.5955438036
2024-03-11,3979137.915156558,3205173.042835385
2024-03-12,3832202.721405177,3124528.380660872
2024-03-13,5098042.699010313,4118782.464591389
2024-03-14,5210446.418857091,4170718.320050105
2024-03-15,4466377.783117095,3596511.0387557037
2024-03-16,4266024.14968596,3458524.5131167285
2024-03-17,4914028.641369488,3988839.98702115
2024-03-18,5113907.674695447,4229371.628567787
2024-03-19,4733638.70994651,3931171.5146179334
2024-03-20,5415389.422803997,4588929.978152303
2024-03-21,4995779.196904655,4352502.018985032
2024-03-22,4799871.676166354,4224510.140922412
2024-03-23,3969608.62810683,3510008.0755463596
2024-03-24,4818979.8314322885,4422783.177488875
2024-03-25,4684900.557422766,4301512.977044985
2024-03-26,4629322.074811349,4197426.832351487
2024-03-27,5678081.792486492,5169800.855695576
2024-03-28,5669590.342005083,5232206.970768688
2024-03-29,5954908.04796284,5407897.690655922
2024-03-30,11563018.543341156,11086275.584523048
2024-03-31,10091645.70880124,9290086.721617369
2024-04-01,9656663.95595877,8843266.092028674
2024-04-02,8480812.444691453,7804629.3885680195
2024-04-03,8264471.404479837,7571694.108311546
2024-04-04,3144487.6824485753,2870492.577083048
2024-04-05,3384894.247341934,3104922.948680822
2024-04-06,3411906.728422232,3096261.3641949613
2024-04-07,3133447.8114193254,2857275.8377422947
2024-04-08,3395647.0641859556,3112962.3198688854
2024-04-09,4111572.9220980313,3792206.606321989
2024-04-10,4746459.963273531,4357717.142462724
2024-04-11,5165538.053893497,4709224.788502272
2024-04-12,4600486.21866714,4198178.187455452
2024-04-13,4993964.98502142,4537882.737101362
2024-04-14,5632197.796126273,5103953.82798322
2024-04-15,5279320.531003039,4540780.886460946
2024-04-16,5882876.793060889,5030606.1477367515
2024-04-17,6789504.618821709,5696593.374422465
2024-04-18,6143996.941330009,4950918.528209984
2024-04-19,6658249.97596295,5394737.752071545
2024-04-20,5204023.677733205,4228525.035449572
2024-04-21,4783578.74553918,3872488.0104769156
2024-04-22,5637081.536287702,4633489.005969154
2024-04-23,5082758.458663266,4117324.4804189336
2024-04-24,7059083.532662575,5752153.335625602
2024-04-25,7209975.971223378,5802866.939750085
2024-04-26,7131944.197590648,5756915.480373491
2024-04-27,7453306.800265631,5979382.506853371
2024-04-28,8071038.698917779,6453849.390367195
2024-04-29,10280894.07505058,7856723.418718167
2024-04-30,8992058.934463913,7333252.344463002
2024-05-01,9093557.620729756,7324305.236735142
2024-05-02,7692995.890315954,6118336.583545368
2024-05-03,6386944.931597175,5104208.897793071
2024-05-04,2667578.765659691,2139428.559798426
2024-05-05,4153234.9610821786,3297549.6524337544
2024-05-06,4208246.852024423,3330739.2085528285
2024-05-07,4171916.5126784854,3322095.827182962
2024-05-08,4372037.52279845,3501062.5665368843
2024-05-09,4197692.345520677,3290135.568854609
2024-05-10,4510440.97660128,3567473.2362648784
2024-05-11,4599895.663627985,3624164.6661185934
2024-05-12,5521363.282723114,4361861.389082706
2024-05-13,5880927.656580846,4696018.847915686
2024-05-14,6026900.272586472,4843301.145438835
2024-05-15,6868355.814152815,5490950.785584624
2024-05-16,6082674.889275617,4776161.261050483
2024-05-17,6258349.84835768,4990663.708292716
2024-05-18,5075880.659209699,4076617.5611773673
2024-05-19,5251295.019685079,4196713.341111059
2024-05-20,4580257.980667575,3659264.967990706
2024-05-21,5462075.737526222,4344261.245167421
2024-05-22,7086261.534880316,5640402.35652316
2024-05-23,6499915.384969063,5236533.261846282
2024-05-24,5723025.803712422,4574556.860875699
2024-05-25,4915578.603651267,3909219.027381649
2024-05-26,4968458.214487445,3985906.190696024
2024-05-27,5424080.584882991,4358572.058978662
2024-05-28,6418020.939809404,5167303.965334024
2024-05-29,7980878.962119968,6367835.246925635
2024-05-30,12935126.012868714,10444701.592458893
2024-05-31,11287479.455340292,8887626.870227352
2024-06-01,10559828.884651328,8494835.194204187
2024-06-02,9054071.523422267,7172055.080611487
2024-06-03,8378532.044685724,6680472.049775875
2024-06-04,3999322.304501236,3186046.1132557923
2024-06-05,4724009.980911035,3732795.7455421104
2024-06-06,4685190.131298762,3771552.3113495237
2024-06-07,4492857.666223637,3634764.696683612
2024-06-08,4333258.1274113385,3502501.9853034955
2024-06-09,4622522.288418814,3732494.817933859
2024-06-10,4452852.253611439,3563826.96310963
2024-06-11,5272578.040417668,4177035.465806076
2024-06-12,6463523.490185617,5179734.519600288
2024-06-13,5745872.44116947,4602826.931565776
2024-06-14,6050095.762389872,4781945.520235639
2024-06-15,6003913.791973756,4841488.527016407
2024-06-16,6207769.760528102,5016315.657239396
2024-06-17,5639742.136376899,4523286.686958029
2024-06-18,5397269.84927615,4270415.540795794
2024-06-19,6595296.976696012,5275515.147119562
2024-06-20,4584552.105452269,3663164.1909152926
2024-06-21,4588131.529344725,3669652.9684156124
2024-06-22,5480585.843540442,4341363.631838111
2024-06-23,5886861.329221637,4741803.22207678
2024-06-24,5668416.283457352,4942267.213974495
2024-06-25,5439526.339384814,4834304.134318072
